Pfad;Name;Dateityp;BreiteHoehe;Seitenverhaeltnis;Alpha;GroesseBytes;SHA256;Kategorie;State;Zielkomponente;Duplikatgruppe;InV2Verwendet;SpaeterNutzbar
C:\Users\patsl\Downloads\DeutschZ_UI_Production_Kit\01_PANELS\Main_Left_Compact_normal.png;Main_Left_Compact_normal.png;.png;640x1040;0.615385;JA;13768;40373BA991D689044DA78A3CF5C3F8D3DB8F80485A9933685B8596935E96F992;NAVIGATION;NORMAL;UI-State-Reserve;;NEIN;JA
C:\Users\patsl\Downloads\DeutschZ_UI_Production_Kit\01_PANELS\Main_Left_Compact_offline.paa;Main_Left_Compact_offline.paa;.paa;;;NEIN;211575;CBA576897BB8B7E7B453284329799CF43E5D8FCA0DA046E47E28389D1E6B48B5;NAVIGATION;OFFLINE;UI-State-Reserve;;NEIN;NEIN
C:\Users\patsl\Downloads\DeutschZ_UI_Production_Kit\01_PANELS\Main_Left_Compact_offline.png;Main_Left_Compact_offline.png;.png;640x1040;0.615385;JA;13685;192A6D3980159C25E951D588369AD5A544871BB8ECE3AB853A3787DF2B51C90D;NAVIGATION;OFFLINE;UI-State-Reserve;;NEIN;JA
C:\Users\patsl\Downloads\DeutschZ_UI_Production_Kit\01_PANELS\Main_Left_Compact_warning.paa;Main_Left_Compact_warning.paa;.paa;;;NEIN;212921;6C011DB5D0D417BE246E0F79E66640193CC2BCC2B5502CFAD70DA8C70392937D;NAVIGATION;WARNING;UI-State-Reserve;;NEIN;NEIN
C:\Users\patsl\Downloads\DeutschZ_UI_Production_Kit\01_PANELS\Main_Left_Compact_warning.png;Main_Left_Compact_warning.png;.png;640x1040;0.615385;JA;17054;2A7BED2EF9082FF242EA4C1566AC7E40D1650C40F6E954B2487594AC4C8CD32D;NAVIGATION;WARNING;UI-State-Reserve;;NEIN;JA
C:\Users\patsl\Downloads\DeutschZ_UI_Production_Kit\01_PANELS\Main_Left_disabled.paa;Main_Left_disabled.paa;.paa;;;NEIN;316838;A43773E1374D6420E2F2FFE295FA47A21A8C28C8BBC2B38ADFD6B2EC4B239919;NAVIGATION;DISABLED;UI-State-Reserve;;NEIN;NEIN
C:\Users\patsl\Downloads\DeutschZ_UI_Production_Kit\01_PANELS\Main_Left_disabled.png;Main_Left_disabled.png;.png;760x1320;0.575758;JA;16541;EDC9AB8D27426802771361B55491B830C0DE681DE1B47EB59460B363BD71BC08;NAVIGATION;DISABLED;UI-State-Reserve;;NEIN;JA
C:\Users\patsl\Downloads\DeutschZ_UI_Production_Kit\01_PANELS\Main_Left_normal.paa;Main_Left_normal.paa;.paa;;;NEIN;317183;AFAB92CEBEB7CEAE0032D2DE37626E65B82EA788F41D9E2165805EC5AFF7FDBA;NAVIGATION;NORMAL;UI-State-Reserve;;NEIN;NEIN
C:\Users\patsl\Downloads\DeutschZ_UI_Production_Kit\01_PANELS\Main_Left_normal.png;Main_Left_normal.png;.png;760x1320;0.575758;JA;16596;DC2A3380CF34DE90A884E69D78DB0D638579AED27EA441FA84D36FCC62A1990E;NAVIGATION;NORMAL;panels/main_left_normal.paa;;JA;NEIN
C:\Users\patsl\Downloads\DeutschZ_UI_Production_Kit\01_PANELS\Main_Left_offline.paa;Main_Left_offline.paa;.paa;;;NEIN;316762;80094AE27AFE8B664DE4173276BB9D5C4D3DD6B22D5409F8D3240E906618733E;NAVIGATION;OFFLINE;UI-State-Reserve;;NEIN;NEIN
C:\Users\patsl\Downloads\DeutschZ_UI_Production_Kit\01_PANELS\Main_Left_offline.png;Main_Left_offline.png;.png;760x1320;0.575758;JA;16494;175B539A3977484F13B526DE93C324294F6EEF6E663E37D67DE9D570776C6114;NAVIGATION;OFFLINE;UI-State-Reserve;;NEIN;JA
C:\Users\patsl\Downloads\DeutschZ_UI_Production_Kit\01_PANELS\Main_Left_warning.paa;Main_Left_warning.paa;.paa;;;NEIN;318181;62D08EC771BC3F6945E99A4145BC4785BA6B4A472E03E9A880C00F496B5E5864;NAVIGATION;WARNING;UI-State-Reserve;;NEIN;NEIN
C:\Users\patsl\Downloads\DeutschZ_UI_Production_Kit\01_PANELS\Main_Left_warning.png;Main_Left_warning.png;.png;760x1320;0.575758;JA;19825;2BC19F44DA2C9918D26FCB18B8EAB01F30B046D4FBAFA24C37C7ED18F0C8DC0E;NAVIGATION;WARNING;UI-State-Reserve;;NEIN;JA
C:\Users\patsl\Downloads\DeutschZ_UI_Production_Kit\01_PANELS\Modal_Confirm_active.paa;Modal_Confirm_active.paa;.paa;;;NEIN;101842;A913041F19AC484516B89D504E62492B4CC6080F4DB7279FB58B276BEACEC647;DIALOG;ACTIVE;Panel-Reserve;;NEIN;NEIN
C:\Users\patsl\Downloads\DeutschZ_UI_Production_Kit\01_PANELS\Modal_Confirm_active.png;Modal_Confirm_active.png;.png;760x420;1.809524;JA;10480;6084C8FA7D6BDE1A96ADE4D347BE5241412AF23B78ADD701DB3642E232F7A75B;DIALOG;ACTIVE;Panel-Reserve;;NEIN;JA
C:\Users\patsl\Downloads\DeutschZ_UI_Production_Kit\01_PANELS\Modal_Confirm_disabled.png;Modal_Confirm_disabled.png;.png;760x420;1.809524;JA;7945;13EC1AEDA55A9C53CD892C39BF661A33B925CB7D3E73DF2C1EBF66F9C9099E5E;DIALOG;DISABLED;Panel-Reserve;;NEIN;JA
